Nacionalidad;Sexo;Año;Total
TOTAL EXTRANJEROS;Hombres;1998;322.261
TOTAL EXTRANJEROS;Mujeres;2022;2.764.718
TOTAL EXTRANJEROS;Mujeres;2021;2.714.996
TOTAL EXTRANJEROS;Mujeres;2020;2.714.276
TOTAL EXTRANJEROS;Mujeres;2019;2.516.733
TOTAL EXTRANJEROS;Mujeres;2018;2.360.813
TOTAL EXTRANJEROS;Mujeres;2017;2.267.702
TOTAL EXTRANJEROS;Mujeres;2016;2.277.075
TOTAL EXTRANJEROS;Mujeres;2015;2.320.017
TOTAL EXTRANJEROS;Mujeres;2014;2.453.240
TOTAL EXTRANJEROS;Mujeres;2013;2.691.518
TOTAL EXTRANJEROS;Mujeres;2012;2.760.750
TOTAL EXTRANJEROS;Mujeres;2011;2.752.780
TOTAL EXTRANJEROS;Mujeres;2010;2.729.799
TOTAL EXTRANJEROS;Mujeres;2009;2.656.035
TOTAL EXTRANJEROS;Mujeres;2008;2.466.089
TOTAL EXTRANJEROS;Mujeres;2007;2.123.869
TOTAL EXTRANJEROS;Mujeres;2006;1.928.697
TOTAL EXTRANJEROS;Mujeres;2005;1.738.576
TOTAL EXTRANJEROS;Mujeres;2004;1.428.603
TOTAL EXTRANJEROS;Mujeres;2003;1.249.418
TOTAL EXTRANJEROS;Mujeres;2002;929.767
TOTAL EXTRANJEROS;Mujeres;2001;653.820
TOTAL EXTRANJEROS;Mujeres;2000;452.413
TOTAL EXTRANJEROS;Mujeres;1999;369.619
TOTAL EXTRANJEROS;Mujeres;1998;314.824
EUROPA;Ambos sexos;2022;2.205.961
EUROPA;Ambos sexos;2021;2.164.069
EUROPA;Ambos sexos;2020;2.179.998
EUROPA;Ambos sexos;2019;2.117.840
EUROPA;Ambos sexos;2018;2.061.035
EUROPA;Ambos sexos;2017;2.039.370
EUROPA;Ambos sexos;2016;2.101.472
EUROPA;Ambos sexos;2015;2.193.758
EUROPA;Ambos sexos;2014;2.299.165
EUROPA;Ambos sexos;2013;2.608.128
EUROPA;Ambos sexos;2012;2.689.150
EUROPA;Ambos sexos;2011;2.631.278
EUROPA;Ambos sexos;2010;2.578.971
EUROPA;Ambos sexos;2009;2.496.891
EUROPA;Ambos sexos;2008;2.314.425
EUROPA;Ambos sexos;2007;1.895.727
EUROPA;Ambos sexos;2006;1.609.856
EUROPA;Ambos sexos;2005;1.352.253
EUROPA;Ambos sexos;2004;1.048.351
EUROPA;Ambos sexos;2003;937.338
EUROPA;Ambos sexos;2002;701.947
EUROPA;Ambos sexos;2001;534.130
EUROPA;Ambos sexos;2000;430.370
EUROPA;Ambos sexos;1999;371.270
EUROPA;Ambos sexos;1998;312.493
EUROPA;Hombres;2022;1.079.666
EUROPA;Hombres;2021;1.058.927
EUROPA;Hombres;2020;1.065.601
EUROPA;Hombres;2019;1.033.878
EUROPA;Hombres;2018;1.006.295
EUROPA;Hombres;2017;997.676
EUROPA;Hombres;2016;1.033.567
EUROPA;Hombres;2015;1.087.154
EUROPA;Hombres;2014;1.152.839
EUROPA;Hombres;2013;1.327.391
EUROPA;Hombres;2012;1.382.543
EUROPA;Hombres;2011;1.362.060
EUROPA;Hombres;2010;1.345.913
EUROPA;Hombres;2009;1.314.327
EUROPA;Hombres;2008;1.225.883
EUROPA;Hombres;2007;993.324
EUROPA;Hombres;2006;842.163
EUROPA;Hombres;2005;708.736
EUROPA;Hombres;2004;547.797
EUROPA;Hombres;2003;488.697
EUROPA;Hombres;2002;364.023
EUROPA;Hombres;2001;271.185
EUROPA;Hombres;2000;212.371
EUROPA;Hombres;1999;181.230
EUROPA;Hombres;1998;151.525
EUROPA;Mujeres;2022;1.126.295
EUROPA;Mujeres;2021;1.105.142
EUROPA;Mujeres;2020;1.114.397
EUROPA;Mujeres;2019;1.083.962
EUROPA;Mujeres;2018;1.054.740
EUROPA;Mujeres;2017;1.041.694
EUROPA;Mujeres;2016;1.067.905
EUROPA;Mujeres;2015;1.106.604
EUROPA;Mujeres;2014;1.146.326
EUROPA;Mujeres;2013;1.280.737
EUROPA;Mujeres;2012;1.306.607
EUROPA;Mujeres;2011;1.269.218
EUROPA;Mujeres;2010;1.233.058
EUROPA;Mujeres;2009;1.182.564
EUROPA;Mujeres;2008;1.088.542
EUROPA;Mujeres;2007;902.403
EUROPA;Mujeres;2006;767.693
EUROPA;Mujeres;2005;643.517
EUROPA;Mujeres;2004;500.554
EUROPA;Mujeres;2003;448.641
EUROPA;Mujeres;2002;337.917
EUROPA;Mujeres;2001;262.939
EUROPA;Mujeres;2000;217.995
EUROPA;Mujeres;1999;190.039
EUROPA;Mujeres;1998;160.967
UNIÓN EUROPEA;Ambos sexos;2022;1.617.911
UNIÓN EUROPEA;Ambos sexos;2021;1.591.984
UNIÓN EUROPEA;Ambos sexos;2020;1.880.821
UNIÓN EUROPEA;Ambos sexos;2019;1.832.540
UNIÓN EUROPEA;Ambos sexos;2018;1.789.686
UNIÓN EUROPEA;Ambos sexos;2017;1.777.989
UNIÓN EUROPEA;Ambos sexos;2016;1.844.592
UNIÓN EUROPEA;Ambos sexos;2015;1.947.110
UNIÓN EUROPEA;Ambos sexos;2014;2.056.903
UNIÓN EUROPEA;Ambos sexos;2013;2.359.371
UNIÓN EUROPEA;Ambos sexos;2012;2.443.617
UNIÓN EUROPEA;Ambos sexos;2011;2.395.358
UNIÓN EUROPEA;Ambos sexos;2010;2.350.172
UNIÓN EUROPEA;Ambos sexos;2009;2.273.226
UNIÓN EUROPEA;Ambos sexos;2008;2.102.654
UNIÓN EUROPEA;Ambos sexos;2007;1.708.517
UNIÓN EUROPEA;Ambos sexos;2006;918.886
UNIÓN EUROPEA;Ambos sexos;2005;774.953
UNIÓN EUROPEA;Ambos sexos;2004;589.155
UNIÓN EUROPEA;Ambos sexos;2003;587.686
UNIÓN EUROPEA;Ambos sexos;2002;489.814
UNIÓN EUROPEA;Ambos sexos;2001;417.311
UNIÓN EUROPEA;Ambos sexos;2000;375.486
UNIÓN EUROPEA;Ambos sexos;1999;329.529
UNIÓN EUROPEA;Ambos sexos;1998;277.844
UNIÓN EUROPEA;Hombres;2022;805.645
UNIÓN EUROPEA;Hombres;2021;793.642
UNIÓN EUROPEA;Hombres;2020;940.406
UNIÓN EUROPEA;Hombres;2019;914.898
UNIÓN EUROPEA;Hombres;2018;893.497
UNIÓN EUROPEA;Hombres;2017;889.001
UNIÓN EUROPEA;Hombres;2016;925.806
UNIÓN EUROPEA;Hombres;2015;983.537
UNIÓN EUROPEA;Hombres;2014;1.050.433
UNIÓN EUROPEA;Hombres;2013;1.220.810
UNIÓN EUROPEA;Hombres;2012;1.275.892
UNIÓN EUROPEA;Hombres;2011;1.258.229
UNIÓN EUROPEA;Hombres;2010;1.242.968
UNIÓN EUROPEA;Hombres;2009;1.211.214
UNIÓN EUROPEA;Hombres;2008;1.126.240
UNIÓN EUROPEA;Hombres;2007;904.868
UNIÓN EUROPEA;Hombres;2006;481.640
UNIÓN EUROPEA;Hombres;2005;402.791
UNIÓN EUROPEA;Hombres;2004;305.243
UNIÓN EUROPEA;Hombres;2003;301.019
UNIÓN EUROPEA;Hombres;2002;248.281
UNIÓN EUROPEA;Hombres;2001;208.792
UNIÓN EUROPEA;Hombres;2000;185.616
UNIÓN EUROPEA;Hombres;1999;160.964
UNIÓN EUROPEA;Hombres;1998;134.580
UNIÓN EUROPEA;Mujeres;2022;812.266
UNIÓN EUROPEA;Mujeres;2021;798.342
UNIÓN EUROPEA;Mujeres;2020;940.415
UNIÓN EUROPEA;Mujeres;2019;917.642
UNIÓN EUROPEA;Mujeres;2018;896.189
UNIÓN EUROPEA;Mujeres;2017;888.988
UNIÓN EUROPEA;Mujeres;2016;918.786
UNIÓN EUROPEA;Mujeres;2015;963.573
UNIÓN EUROPEA;Mujeres;2014;1.006.470
UNIÓN EUROPEA;Mujeres;2013;1.138.561
UNIÓN EUROPEA;Mujeres;2012;1.167.725
UNIÓN EUROPEA;Mujeres;2011;1.137.129
UNIÓN EUROPEA;Mujeres;2010;1.107.204
UNIÓN EUROPEA;Mujeres;2009;1.062.012
UNIÓN EUROPEA;Mujeres;2008;976.414
UNIÓN EUROPEA;Mujeres;2007;803.649
UNIÓN EUROPEA;Mujeres;2006;437.246
UNIÓN EUROPEA;Mujeres;2005;372.162
UNIÓN EUROPEA;Mujeres;2004;283.912
UNIÓN EUROPEA;Mujeres;2003;286.667
UNIÓN EUROPEA;Mujeres;2002;241.532
UNIÓN EUROPEA;Mujeres;2001;208.514
UNIÓN EUROPEA;Mujeres;2000;189.870
UNIÓN EUROPEA;Mujeres;1999;168.566
UNIÓN EUROPEA;Mujeres;1998;143.263
UE(15);Ambos sexos;2022;1.061.991
UE(15);Ambos sexos;2021;1.006.785
UE(15);Ambos sexos;2020;984.667
UE(15);Ambos sexos;2019;933.714
UE(15);Ambos sexos;2018;888.059
UE(15);Ambos sexos;2017;861.852
UE(15);Ambos sexos;2016;886.531
UE(15);Ambos sexos;2015;937.153
UE(15);Ambos sexos;2014;984.698
UE(15);Ambos sexos;2013;1.183.725
UE(15);Ambos sexos;2012;1.227.198
UE(15);Ambos sexos;2011;1.214.652
UE(15);Ambos sexos;2010;1.208.359
UE(15);Ambos sexos;2009;1.172.196
UE(15);Ambos sexos;2008;1.090.122
UE(15);Ambos sexos;2007;958.311
UE(15);Ambos sexos;2006;840.853
UE(15);Ambos sexos;2005;712.905
UE(15);Ambos sexos;2004;589.155
UE(15);Ambos sexos;2003;587.686
UE(15);Ambos sexos;2002;489.814
UE(15);Ambos sexos;2001;417.311
UE(15);Ambos sexos;2000;375.486
UE(15);Ambos sexos;1999;329.529
UE(15);Ambos sexos;1998;277.844
UE(15);Hombres;2022;552.531
UE(15);Hombres;2021;524.529
UE(15);Hombres;2020;512.844
UE(15);Hombres;2019;486.178
UE(15);Hombres;2018;462.878
UE(15);Hombres;2017;449.649
UE(15);Hombres;2016;463.129
UE(15);Hombres;2015;489.900
UE(15);Hombres;2014;516.938
UE(15);Hombres;2013;623.618
UE(15);Hombres;2012;649.082
UE(15);Hombres;2011;643.861
UE(15);Hombres;2010;642.208
UE(15);Hombres;2009;624.892
UE(15);Hombres;2008;582.098
UE(15);Hombres;2007;508.074
UE(15);Hombres;2006;442.304
UE(15);Hombres;2005;372.131
UE(15);Hombres;2004;305.243
UE(15);Hombres;2003;301.019
UE(15);Hombres;2002;248.281
UE(15);Hombres;2001;208.792
UE(15);Hombres;2000;185.616
UE(15);Hombres;1999;160.964
UE(15);Hombres;1998;134.580
UE(15);Mujeres;2022;509.460
UE(15);Mujeres;2021;482.256
UE(15);Mujeres;2020;471.823
UE(15);Mujeres;2019;447.536
UE(15);Mujeres;2018;425.181
UE(15);Mujeres;2017;412.203
UE(15);Mujeres;2016;423.402
UE(15);Mujeres;2015;447.253
UE(15);Mujeres;2014;467.760
UE(15);Mujeres;2013;560.107
UE(15);Mujeres;2012;578.116
UE(15);Mujeres;2011;570.791
UE(15);Mujeres;2010;566.151
UE(15);Mujeres;2009;547.304
UE(15);Mujeres;2008;508.024
UE(15);Mujeres;2007;450.237
UE(15);Mujeres;2006;398.549
UE(15);Mujeres;2005;340.774
UE(15);Mujeres;2004;283.912
UE(15);Mujeres;2003;286.667
UE(15);Mujeres;2002;241.532
UE(15);Mujeres;2001;208.514
UE(15);Mujeres;2000;189.870
UE(15);Mujeres;1999;168.566
UE(15);Mujeres;1998;143.263
UE(25);Ambos sexos;2022;1.165.944
UE(25);Ambos sexos;2021;1.108.657
UE(25);Ambos sexos;2020;1.088.209
UE(25);Ambos sexos;2019;1.035.105
UE(25);Ambos sexos;2018;986.891
UE(25);Ambos sexos;2017;960.445
UE(25);Ambos sexos;2016;991.213
UE(25);Ambos sexos;2015;1.050.592
UE(25);Ambos sexos;2014;1.106.425
UE(25);Ambos sexos;2013;1.320.116
UE(25);Ambos sexos;2012;1.370.003
UE(25);Ambos sexos;2011;1.356.725
UE(25);Ambos sexos;2010;1.349.385
UE(25);Ambos sexos;2009;1.309.617
UE(25);Ambos sexos;2008;1.216.875
UE(25);Ambos sexos;2007;1.059.441
UE(25);Ambos sexos;2006;918.886
UE(25);Ambos sexos;2005;774.953
UE(25);Ambos sexos;2004;636.037
UE(25);Ambos sexos;2003;629.358
UE(25);Ambos sexos;2002;519.997
UE(25);Ambos sexos;2001;436.763
UE(25);Ambos sexos;2000;386.195
UE(25);Ambos sexos;1999;337.959
UE(25);Ambos sexos;1998;285.271
UE(25);Hombres;2022;594.967
UE(25);Hombres;2021;566.159
UE(25);Hombres;2020;555.164
UE(25);Hombres;2019;527.701
UE(25);Hombres;2018;503.480
UE(25);Hombres;2017;490.529
UE(25);Hombres;2016;507.636
UE(25);Hombres;2015;539.728
UE(25);Hombres;2014;572.286
UE(25);Hombres;2013;688.579
UE(25);Hombres;2012;719.185
UE(25);Hombres;2011;714.826
UE(25);Hombres;2010;714.120
UE(25);Hombres;2009;696.222
UE(25);Hombres;2008;648.672
UE(25);Hombres;2007;560.628
UE(25);Hombres;2006;481.640
UE(25);Hombres;2005;402.791
UE(25);Hombres;2004;327.837
UE(25);Hombres;2003;321.425
UE(25);Hombres;2002;263.173
UE(25);Hombres;2001;218.201
UE(25);Hombres;2000;190.746
UE(25);Hombres;1999;165.080
UE(25);Hombres;1998;138.300
UE(25);Mujeres;2022;570.977
UE(25);Mujeres;2021;542.498
UE(25);Mujeres;2020;533.045
UE(25);Mujeres;2019;507.404
UE(25);Mujeres;2018;483.411
UE(25);Mujeres;2017;469.916
UE(25);Mujeres;2016;483.577
UE(25);Mujeres;2015;510.864
UE(25);Mujeres;2014;534.139
UE(25);Mujeres;2013;631.537
UE(25);Mujeres;2012;650.818
UE(25);Mujeres;2011;641.899
UE(25);Mujeres;2010;635.265
UE(25);Mujeres;2009;613.395
UE(25);Mujeres;2008;568.203
UE(25);Mujeres;2007;498.813
UE(25);Mujeres;2006;437.246
UE(25);Mujeres;2005;372.162
UE(25);Mujeres;2004;308.200
UE(25);Mujeres;2003;307.933
UE(25);Mujeres;2002;256.822
UE(25);Mujeres;2001;218.558
UE(25);Mujeres;2000;195.448
UE(25);Mujeres;1999;172.879
UE(25);Mujeres;1998;146.971
UE(27);Ambos sexos;2022;1.907.944
UE(27);Ambos sexos;2021;1.871.250
UE(27);Ambos sexos;2020;1.877.962
UE(27);Ambos sexos;2019;1.829.903
UE(27);Ambos sexos;2018;1.787.300
UE(27);Ambos sexos;2017;1.775.847
UE(27);Ambos sexos;2016;1.842.626
UE(27);Ambos sexos;2015;1.945.188
UE(27);Ambos sexos;2014;2.055.058
UE(27);Ambos sexos;2013;2.359.371
UE(27);Ambos sexos;2012;2.443.617
UE(27);Ambos sexos;2011;2.395.358
UE(27);Ambos sexos;2010;2.350.172
UE(27);Ambos sexos;2009;2.273.226
UE(27);Ambos sexos;2008;2.102.654
UE(27);Ambos sexos;2007;1.708.517
UE(27);Ambos sexos;2006;1.427.662
UE(27);Ambos sexos;2005;1.185.356
UE(27);Ambos sexos;2004;913.851
UE(27);Ambos sexos;2003;819.543
UE(27);Ambos sexos;2002;617.017
UE(27);Ambos sexos;2001;480.439
UE(27);Ambos sexos;2000;395.636
UE(27);Ambos sexos;1999;342.937
UE(27);Ambos sexos;1998;288.982
UE(27);Hombres;2022;954.518
UE(27);Hombres;2021;936.456
UE(27);Hombres;2020;939.021
UE(27);Hombres;2019;913.591
UE(27);Hombres;2018;892.294
UE(27);Hombres;2017;887.934
UE(27);Hombres;2016;924.807
UE(27);Hombres;2015;982.554
UE(27);Hombres;2014;1.049.485
UE(27);Hombres;2013;1.220.810
UE(27);Hombres;2012;1.275.892
UE(27);Hombres;2011;1.258.229
UE(27);Hombres;2010;1.242.968
UE(27);Hombres;2009;1.211.214
UE(27);Hombres;2008;1.126.240
UE(27);Hombres;2007;904.868
UE(27);Hombres;2006;755.090
UE(27);Hombres;2005;628.132
UE(27);Hombres;2004;482.361
UE(27);Hombres;2003;430.673
UE(27);Hombres;2002;321.693
UE(27);Hombres;2001;244.799
UE(27);Hombres;2000;195.844
UE(27);Hombres;1999;167.759
UE(27);Hombres;1998;140.337
UE(27);Mujeres;2022;953.426
UE(27);Mujeres;2021;934.794
UE(27);Mujeres;2020;938.941
UE(27);Mujeres;2019;916.312
UE(27);Mujeres;2018;895.006
UE(27);Mujeres;2017;887.913
UE(27);Mujeres;2016;917.819
UE(27);Mujeres;2015;962.634
UE(27);Mujeres;2014;1.005.573
UE(27);Mujeres;2013;1.138.561
UE(27);Mujeres;2012;1.167.725
UE(27);Mujeres;2011;1.137.129
UE(27);Mujeres;2010;1.107.204
UE(27);Mujeres;2009;1.062.012
UE(27);Mujeres;2008;976.414
UE(27);Mujeres;2007;803.649
UE(27);Mujeres;2006;672.572
UE(27);Mujeres;2005;557.224
UE(27);Mujeres;2004;431.490
UE(27);Mujeres;2003;388.870
UE(27);Mujeres;2002;295.321
UE(27);Mujeres;2001;235.636
UE(27);Mujeres;2000;199.789
UE(27);Mujeres;1999;175.179
UE(27);Mujeres;1998;148.645
UE(28);Ambos sexos;2022;1.911.082
UE(28);Ambos sexos;2021;1.874.108
UE(28);Ambos sexos;2020;1.880.821
UE(28);Ambos sexos;2019;1.832.540
UE(28);Ambos sexos;2018;1.789.686
UE(28);Ambos sexos;2017;1.777.989
UE(28);Ambos sexos;2016;1.844.592
UE(28);Ambos sexos;2015;1.947.110
UE(28);Ambos sexos;2014;2.056.903
UE(28);Ambos sexos;2013;2.360.978
UE(28);Ambos sexos;2012;2.445.242
UE(28);Ambos sexos;2011;2.397.014
UE(28);Ambos sexos;2010;2.351.939
UE(28);Ambos sexos;2009;2.274.978
UE(28);Ambos sexos;2008;2.104.424
UE(28);Ambos sexos;2007;1.710.166
UE(28);Ambos sexos;2006;1.429.450
UE(28);Ambos sexos;2005;1.187.069
UE(28);Ambos sexos;2004;915.286
UE(28);Ambos sexos;2003;820.895
UE(28);Ambos sexos;2002;618.098
UE(28);Ambos sexos;2001;481.228
UE(28);Ambos sexos;2000;396.187
UE(28);Ambos sexos;1999;343.350
UE(28);Ambos sexos;1998;289.335
UE(28);Hombres;2022;956.019
UE(28);Hombres;2021;937.843
UE(28);Hombres;2020;940.406
UE(28);Hombres;2019;914.898
UE(28);Hombres;2018;893.497
UE(28);Hombres;2017;889.001
UE(28);Hombres;2016;925.806
UE(28);Hombres;2015;983.537
UE(28);Hombres;2014;1.050.433
UE(28);Hombres;2013;1.221.631
UE(28);Hombres;2012;1.276.724
UE(28);Hombres;2011;1.259.111
UE(28);Hombres;2010;1.243.890
UE(28);Hombres;2009;1.212.142
UE(28);Hombres;2008;1.127.193
UE(28);Hombres;2007;905.760
UE(28);Hombres;2006;756.045
UE(28);Hombres;2005;629.056
UE(28);Hombres;2004;483.141
UE(28);Hombres;2003;431.416
UE(28);Hombres;2002;322.275
UE(28);Hombres;2001;245.219
UE(28);Hombres;2000;196.135
UE(28);Hombres;1999;167.977
UE(28);Hombres;1998;140.525
UE(28);Mujeres;2022;955.063
UE(28);Mujeres;2021;936.265
UE(28);Mujeres;2020;940.415
UE(28);Mujeres;2019;917.642
UE(28);Mujeres;2018;896.189
UE(28);Mujeres;2017;888.988
UE(28);Mujeres;2016;918.786
UE(28);Mujeres;2015;963.573
UE(28);Mujeres;2014;1.006.470
UE(28);Mujeres;2013;1.139.347
UE(28);Mujeres;2012;1.168.518
UE(28);Mujeres;2011;1.137.903
UE(28);Mujeres;2010;1.108.049
UE(28);Mujeres;2009;1.062.836
UE(28);Mujeres;2008;977.231
UE(28);Mujeres;2007;804.406
UE(28);Mujeres;2006;673.405
UE(28);Mujeres;2005;558.013
UE(28);Mujeres;2004;432.145
UE(28);Mujeres;2003;389.479
UE(28);Mujeres;2002;295.820
UE(28);Mujeres;2001;236.005
UE(28);Mujeres;2000;200.049
UE(28);Mujeres;1999;175.374
UE(28);Mujeres;1998;148.809
UE(27_2020);Ambos sexos;2022;1.617.911
UE(27_2020);Ambos sexos;2021;1.591.984
UE(27_2020);Ambos sexos;2020;1.617.936
UE(27_2020);Ambos sexos;2019;1.582.148
UE(27_2020);Ambos sexos;2018;1.546.849
UE(27_2020);Ambos sexos;2017;1.537.204
UE(27_2020);Ambos sexos;2016;1.588.091
UE(27_2020);Ambos sexos;2015;1.663.867
UE(27_2020);Ambos sexos;2014;1.756.617
UE(27_2020);Ambos sexos;2013;1.975.799
UE(27_2020);Ambos sexos;2012;2.047.350
UE(27_2020);Ambos sexos;2011;2.005.820
UE(27_2020);Ambos sexos;2010;1.964.262
UE(27_2020);Ambos sexos;2009;1.899.275
UE(27_2020);Ambos sexos;2008;1.751.467
UE(27_2020);Ambos sexos;2007;1.395.215
UE(27_2020);Ambos sexos;2006;1.154.728
UE(27_2020);Ambos sexos;2005;959.882
UE(27_2020);Ambos sexos;2004;740.476
UE(27_2020);Ambos sexos;2003;659.388
UE(27_2020);Ambos sexos;2002;489.977
UE(27_2020);Ambos sexos;2001;373.902
UE(27_2020);Ambos sexos;2000;297.170
UE(27_2020);Ambos sexos;1999;254.245
UE(27_2020);Ambos sexos;1998;213.735
UE(27_2020);Hombres;2022;805.645
UE(27_2020);Hombres;2021;793.642
UE(27_2020);Hombres;2020;806.827
UE(27_2020);Hombres;2019;788.191
UE(27_2020);Hombres;2018;770.892
UE(27_2020);Hombres;2017;767.634
UE(27_2020);Hombres;2016;796.742
UE(27_2020);Hombres;2015;841.377
UE(27_2020);Hombres;2014;899.682
UE(27_2020);Hombres;2013;1.027.315
UE(27_2020);Hombres;2012;1.075.435
UE(27_2020);Hombres;2011;1.061.159
UE(27_2020);Hombres;2010;1.047.501
UE(27_2020);Hombres;2009;1.021.635
UE(27_2020);Hombres;2008;947.734
UE(27_2020);Hombres;2007;745.707
UE(27_2020);Hombres;2006;616.716
UE(27_2020);Hombres;2005;514.091
UE(27_2020);Hombres;2004;394.851
UE(27_2020);Hombres;2003;350.677
UE(27_2020);Hombres;2002;258.949
UE(27_2020);Hombres;2001;192.782
UE(27_2020);Hombres;2000;148.200
UE(27_2020);Hombres;1999;125.127
UE(27_2020);Hombres;1998;104.324
UE(27_2020);Mujeres;2022;812.266
UE(27_2020);Mujeres;2021;798.342
UE(27_2020);Mujeres;2020;811.109
UE(27_2020);Mujeres;2019;793.957
UE(27_2020);Mujeres;2018;775.957
UE(27_2020);Mujeres;2017;769.570
UE(27_2020);Mujeres;2016;791.349
UE(27_2020);Mujeres;2015;822.490
UE(27_2020);Mujeres;2014;856.935
UE(27_2020);Mujeres;2013;948.484
UE(27_2020);Mujeres;2012;971.915
UE(27_2020);Mujeres;2011;944.661
UE(27_2020);Mujeres;2010;916.761
UE(27_2020);Mujeres;2009;877.640
UE(27_2020);Mujeres;2008;803.733
UE(27_2020);Mujeres;2007;649.508
UE(27_2020);Mujeres;2006;538.012
UE(27_2020);Mujeres;2005;445.791
UE(27_2020);Mujeres;2004;345.625
UE(27_2020);Mujeres;2003;308.711
UE(27_2020);Mujeres;2002;231.025
UE(27_2020);Mujeres;2001;181.117
UE(27_2020);Mujeres;2000;148.967
UE(27_2020);Mujeres;1999;129.119
UE(27_2020);Mujeres;1998;109.410
Alemania;Ambos sexos;2022;116.122
Alemania;Ambos sexos;2021;109.556
Alemania;Ambos sexos;2020;111.937
Alemania;Ambos sexos;2019;111.911
Alemania;Ambos sexos;2018;111.495
Alemania;Ambos sexos;2017;111.814
Alemania;Ambos sexos;2016;119.820
Alemania;Ambos sexos;2015;130.911
Alemania;Ambos sexos;2014;140.511
Alemania;Ambos sexos;2013;181.900
Alemania;Ambos sexos;2012;196.878
Alemania;Ambos sexos;2011;195.987
Alemania;Ambos sexos;2010;195.824
Alemania;Ambos sexos;2009;191.002
Alemania;Ambos sexos;2008;181.174
Alemania;Ambos sexos;2007;164.405
Alemania;Ambos sexos;2006;150.490
Alemania;Ambos sexos;2005;133.588
Alemania;Ambos sexos;2004;117.250
Alemania;Ambos sexos;2003;130.232
Alemania;Ambos sexos;2002;113.808
Alemania;Ambos sexos;2001;99.217
Alemania;Ambos sexos;2000;88.651
Alemania;Ambos sexos;1999;75.618
Alemania;Ambos sexos;1998;60.495
Alemania;Hombres;2022;55.740
Alemania;Hombres;2021;52.640
Alemania;Hombres;2020;53.809
Alemania;Hombres;2019;53.878
Alemania;Hombres;2018;53.815
Alemania;Hombres;2017;53.992
Alemania;Hombres;2016;58.202
Alemania;Hombres;2015;63.883
Alemania;Hombres;2014;69.003
Alemania;Hombres;2013;90.254
Alemania;Hombres;2012;98.210
Alemania;Hombres;2011;98.066
Alemania;Hombres;2010;98.210
Alemania;Hombres;2009;96.070
Alemania;Hombres;2008;91.533
Alemania;Hombres;2007;83.229
Alemania;Hombres;2006;76.254
Alemania;Hombres;2005;67.475
