Sex;Nationality;Five-year age group;Periodo;Total
Both sexes;Spanish ;From 25 to 29 years  ;2012;2.106
Both sexes;Spanish ;From 25 to 29 years  ;2011;2.736
Both sexes;Spanish ;From 25 to 29 years  ;2010;2.480
Both sexes;Spanish ;From 25 to 29 years  ;2009;2.352
Both sexes;Spanish ;From 25 to 29 years  ;2008;2.903
Both sexes;Spanish ;From 30 to 34 years old;2021;5.866
Both sexes;Spanish ;From 30 to 34 years old;2020;4.468
Both sexes;Spanish ;From 30 to 34 years old;2019;6.911
Both sexes;Spanish ;From 30 to 34 years old;2018;6.700
Both sexes;Spanish ;From 30 to 34 years old;2017;6.673
Both sexes;Spanish ;From 30 to 34 years old;2016;5.574
Both sexes;Spanish ;From 30 to 34 years old;2015;4.975
Both sexes;Spanish ;From 30 to 34 years old;2014;3.487
Both sexes;Spanish ;From 30 to 34 years old;2013;2.534
Both sexes;Spanish ;From 30 to 34 years old;2012;2.688
Both sexes;Spanish ;From 30 to 34 years old;2011;3.285
Both sexes;Spanish ;From 30 to 34 years old;2010;2.821
Both sexes;Spanish ;From 30 to 34 years old;2009;2.670
Both sexes;Spanish ;From 30 to 34 years old;2008;2.965
Both sexes;Spanish ;From 35 to 39 years old;2021;5.704
Both sexes;Spanish ;From 35 to 39 years old;2020;4.591
Both sexes;Spanish ;From 35 to 39 years old;2019;6.664
Both sexes;Spanish ;From 35 to 39 years old;2018;6.832
Both sexes;Spanish ;From 35 to 39 years old;2017;6.484
Both sexes;Spanish ;From 35 to 39 years old;2016;5.516
Both sexes;Spanish ;From 35 to 39 years old;2015;4.541
Both sexes;Spanish ;From 35 to 39 years old;2014;3.434
Both sexes;Spanish ;From 35 to 39 years old;2013;2.658
Both sexes;Spanish ;From 35 to 39 years old;2012;2.581
Both sexes;Spanish ;From 35 to 39 years old;2011;2.900
Both sexes;Spanish ;From 35 to 39 years old;2010;2.596
Both sexes;Spanish ;From 35 to 39 years old;2009;2.090
Both sexes;Spanish ;From 35 to 39 years old;2008;2.228
Both sexes;Spanish ;From 40 to 44 years  ;2021;5.521
Both sexes;Spanish ;From 40 to 44 years  ;2020;4.411
Both sexes;Spanish ;From 40 to 44 years  ;2019;6.651
Both sexes;Spanish ;From 40 to 44 years  ;2018;6.464
Both sexes;Spanish ;From 40 to 44 years  ;2017;5.934
Both sexes;Spanish ;From 40 to 44 years  ;2016;4.807
Both sexes;Spanish ;From 40 to 44 years  ;2015;3.945
Both sexes;Spanish ;From 40 to 44 years  ;2014;3.097
Both sexes;Spanish ;From 40 to 44 years  ;2013;2.464
Both sexes;Spanish ;From 40 to 44 years  ;2012;2.397
Both sexes;Spanish ;From 40 to 44 years  ;2011;2.729
Both sexes;Spanish ;From 40 to 44 years  ;2010;2.146
Both sexes;Spanish ;From 40 to 44 years  ;2009;1.655
Both sexes;Spanish ;From 40 to 44 years  ;2008;1.778
Both sexes;Spanish ;From 45 to 49 years old;2021;5.217
Both sexes;Spanish ;From 45 to 49 years old;2020;3.841
Both sexes;Spanish ;From 45 to 49 years old;2019;5.884
Both sexes;Spanish ;From 45 to 49 years old;2018;5.553
Both sexes;Spanish ;From 45 to 49 years old;2017;4.854
Both sexes;Spanish ;From 45 to 49 years old;2016;3.888
Both sexes;Spanish ;From 45 to 49 years old;2015;3.214
Both sexes;Spanish ;From 45 to 49 years old;2014;2.645
Both sexes;Spanish ;From 45 to 49 years old;2013;2.335
Both sexes;Spanish ;From 45 to 49 years old;2012;2.195
Both sexes;Spanish ;From 45 to 49 years old;2011;2.580
Both sexes;Spanish ;From 45 to 49 years old;2010;2.028
Both sexes;Spanish ;From 45 to 49 years old;2009;1.501
Both sexes;Spanish ;From 45 to 49 years old;2008;1.626
Both sexes;Spanish ;From 50 to 54 years old;2021;4.377
Both sexes;Spanish ;From 50 to 54 years old;2020;3.020
Both sexes;Spanish ;From 50 to 54 years old;2019;4.840
Both sexes;Spanish ;From 50 to 54 years old;2018;4.840
Both sexes;Spanish ;From 50 to 54 years old;2017;4.229
Both sexes;Spanish ;From 50 to 54 years old;2016;3.186
Both sexes;Spanish ;From 50 to 54 years old;2015;2.686
Both sexes;Spanish ;From 50 to 54 years old;2014;2.239
Both sexes;Spanish ;From 50 to 54 years old;2013;1.914
Both sexes;Spanish ;From 50 to 54 years old;2012;1.796
Both sexes;Spanish ;From 50 to 54 years old;2011;1.936
Both sexes;Spanish ;From 50 to 54 years old;2010;1.555
Both sexes;Spanish ;From 50 to 54 years old;2009;1.185
Both sexes;Spanish ;From 50 to 54 years old;2008;1.423
Both sexes;Spanish ;From 55 to 59 years old;2021;3.655
Both sexes;Spanish ;From 55 to 59 years old;2020;2.524
Both sexes;Spanish ;From 55 to 59 years old;2019;4.122
Both sexes;Spanish ;From 55 to 59 years old;2018;3.810
Both sexes;Spanish ;From 55 to 59 years old;2017;3.380
Both sexes;Spanish ;From 55 to 59 years old;2016;2.483
Both sexes;Spanish ;From 55 to 59 years old;2015;2.106
Both sexes;Spanish ;From 55 to 59 years old;2014;1.809
Both sexes;Spanish ;From 55 to 59 years old;2013;1.503
Both sexes;Spanish ;From 55 to 59 years old;2012;1.549
Both sexes;Spanish ;From 55 to 59 years old;2011;1.699
Both sexes;Spanish ;From 55 to 59 years old;2010;1.338
Both sexes;Spanish ;From 55 to 59 years old;2009;1.245
Both sexes;Spanish ;From 55 to 59 years old;2008;1.566
Both sexes;Spanish ;From 60 to 64 years old;2021;2.802
Both sexes;Spanish ;From 60 to 64 years old;2020;2.040
Both sexes;Spanish ;From 60 to 64 years old;2019;3.231
Both sexes;Spanish ;From 60 to 64 years old;2018;3.121
Both sexes;Spanish ;From 60 to 64 years old;2017;2.845
Both sexes;Spanish ;From 60 to 64 years old;2016;2.154
Both sexes;Spanish ;From 60 to 64 years old;2015;2.039
Both sexes;Spanish ;From 60 to 64 years old;2014;1.871
Both sexes;Spanish ;From 60 to 64 years old;2013;1.763
Both sexes;Spanish ;From 60 to 64 years old;2012;1.788
Both sexes;Spanish ;From 60 to 64 years old;2011;1.948
Both sexes;Spanish ;From 60 to 64 years old;2010;1.755
Both sexes;Spanish ;From 60 to 64 years old;2009;1.736
Both sexes;Spanish ;From 60 to 64 years old;2008;2.175
Both sexes;Spanish ;From 65 to 69 years old;2021;2.067
Both sexes;Spanish ;From 65 to 69 years old;2020;1.339
Both sexes;Spanish ;From 65 to 69 years old;2019;2.444
Both sexes;Spanish ;From 65 to 69 years old;2018;2.418
Both sexes;Spanish ;From 65 to 69 years old;2017;2.360
Both sexes;Spanish ;From 65 to 69 years old;2016;1.879
Both sexes;Spanish ;From 65 to 69 years old;2015;1.800
Both sexes;Spanish ;From 65 to 69 years old;2014;1.718
Both sexes;Spanish ;From 65 to 69 years old;2013;1.564
Both sexes;Spanish ;From 65 to 69 years old;2012;1.612
Both sexes;Spanish ;From 65 to 69 years old;2011;1.719
Both sexes;Spanish ;From 65 to 69 years old;2010;1.401
Both sexes;Spanish ;From 65 to 69 years old;2009;1.422
Both sexes;Spanish ;From 65 to 69 years old;2008;1.530
Both sexes;Spanish ;From 70 to 74 years  ;2021;1.365
Both sexes;Spanish ;From 70 to 74 years  ;2020;756
Both sexes;Spanish ;From 70 to 74 years  ;2019;1.681
Both sexes;Spanish ;From 70 to 74 years  ;2018;1.690
Both sexes;Spanish ;From 70 to 74 years  ;2017;1.535
Both sexes;Spanish ;From 70 to 74 years  ;2016;1.165
Both sexes;Spanish ;From 70 to 74 years  ;2015;1.154
Both sexes;Spanish ;From 70 to 74 years  ;2014;1.023
